feature,subro_mean,no_subro_mean,difference,diff_pct,correlation,subro_median,no_subro_median
liab_prct,32.83985419198056,39.88980121002593,-7.049947018045373,-17.673557661790905,-0.30202577279402776,33.0,40.0
high_education_ind,0.5990279465370595,0.721405934889081,-0.12237798835202152,-16.963817791972254,-0.11146281130610963,1.0,1.0
address_change_ind,0.673876063183475,0.5677758571016998,0.10610020608177528,18.686987961181252,0.09066185060445878,1.0,1.0
email_or_tel_available,0.6369380315917376,0.7262316335350043,-0.08929360194326674,-12.295471280468167,-0.0822923263062839,1.0,1.0
policy_report_filed_ind,0.6228432563791009,0.5990348602708153,0.023808396108285557,3.9744591981754875,0.020447886109444827,1.0,1.0
past_num_of_claims,3.8009720534629405,3.585350043215212,0.21562201024772865,6.013973744341924,0.016159729491755644,0.0,0.0
vehicle_weight,23093.30738921069,22768.61465126246,324.6927379482331,1.42605399108122,0.011499684344444257,20829.28856,20604.11198
claim_est_payout,3528.943178614824,3624.1946852492074,-95.25150663438353,-2.6282116416665735,-0.011081628593482131,2401.59,2418.8050000000003
vehicle_made_year,2022.3650060753341,2022.456280610775,-0.0912745354407889,-0.004513053573312338,-0.009820065974883732,2023.0,2023.0
vehicle_price,31029.168567931956,30549.019772495678,480.1487954362783,1.5717322487334637,0.00977098856220874,20385.09235,19484.68427
age_of_DL,22.008748481166464,22.063958513396717,-0.05521003223025289,-0.25022723006155234,-0.006902427482037755,22.0,22.0
year_of_born,1980.9181044957472,1980.7265917602997,0.19151273544753167,0.009668812255270522,0.006593114618776504,1982.0,1982.0
safety_rating,74.78347509113001,74.59925093632958,0.18422415480043242,0.24695174882844426,0.0053111341785409185,75.0,75.0
vehicle_mileage,79787.4772782503,80139.04472774417,-351.5674494938721,-0.438696830849743,-0.004910934949137021,80203.0,79671.5
annual_income,54713.7737545565,54551.1144482858,162.65930627070338,0.2981777877790257,0.0025985192165158804,46567.0,46307.5
zip_code,49773.60024301337,49765.36531259003,8.234930423335754,0.01654751325868877,0.00011884085486675828,50026.0,50027.0
